name,address,latitude,longitude
Сезам Дюнер и Пиле на грил,ул. Стефан Стамболов 88,42.50314388,27.46992376
Coffee shop Back in Black,бул. Цар Симеон Велики 130,42.4252842,25.6341074
Картофчо,ул. Висарион Белински 2Б,42.65364447,23.3434428
Механа Каручката,ул. Петър Парчевич 46,42.42473901,25.63184359
Protein House,ж.к Студентски град блок 58,42.64441825,23.34130436
Пицария Lappetto,"ж.к. Младост , до блок 301",43.13448665,24.7006542
Noodle box,ул. Света Гора 40,42.67534656,23.32966083
Небесен Дракон,"ул. ""Ивайло"" 19",42.69332504,23.31430817
,,,
Aladin foods (Студентски град),"ж.к.Студентски град, ул. 8-ми Декември 6",42.65207303,23.34484353
Premium Pizza,ул. Пирин 58,42.66384125,23.28532028
Пицария Mamma Mia (Шишман)," ул. Цар Иван Шишман 39",42.68955994,23.3278904
Fish & Chips,бул. Арсеналски 2,42.67889404,23.32068062
Cantonata Express Center,ул. Васил Левски 174,43.41110245,24.61628141
Арест,ул. Приморски 5,43.19772846,27.9164663
Лесковацка Скара при Бракята (Борис Стефанов),ул. 8-декември номер 44,42.651472,23.342776
Mr. Pizza (Младост-Corporate),"ж.к. Младост 1, бул. Йерусалим 22",42.6554966,23.3737541
Raffy Bar & Gelato (Тракия),ул. Съединение 51А,42.13074782,24.79301303
Savini Gelato (Пловдив),ул. Найден Геров 17,42.1437963,24.74787364
Fuego Cafe,ул. Дилянка 20,42.7378743,23.3015058
McDonald's™,ул. Александър Стамболийски 101,42.69800376,23.30911463
Amici Pizza & Grill (Възраждане),ул. Цар Светослав Тертер 11,43.23819384,27.8835774
Пицария Ниагара (Дружба - Corporate),ж.к. Дружба 2 ул. Обиколна до Практикер,42.64210892,23.40757561
El Mundo,Ул. България  4,43.56852684,27.82868639
Bar & Dinner Lindo,ж.к. Самара 3,42.43537936,25.6442766
Клуб на Докера,"бул. Приморски 27 , Пристанищен комплекс",43.19751382,27.9196952
Balkan Food - Central Mall Pleven,"пл. Свобода 25, ул. Цар Борис III, Central Mall",43.4098943,24.61838463
УГО - Пицарии и ресторанти,ж.к. Младост бул. Александър Малинов 45,42.64785767,23.37697983
Dolce Amaro,"Район Приморски, местност Салтанат 81",43.21178,27.936884
Mr. Pizza (Васил Левски),бул. Васил Левски 53,42.68875553,23.32903728
Hesburger (Алабин),ул. Алабин 29,42.69501815,23.32113205
,,,
Adoro 3,ул. Лешникова гора 2,42.63418573,23.310175
Stelmo,ул. Ружа 15,42.13281044,24.71276343
Жар Експрес,ул. Трети март 35-37,43.40555426,23.22371831
,,,
BBQ,бул.княз Александър Дондуков 15,42.69801712,23.32810974
Сръбска Скара при Гаваза,ул. Свети Киприян 32,42.64575617,23.36767884
Мечока Бен,Градски парк Свети Георги бул. 3-ти март 7,43.56378174,27.82744789
Ресторант Интерленд,ул. Коломан 6,42.68002066,23.27283299
Дивака (Гладстон),ул. Уилям Гладстон 54,42.6912117,23.32249069
Палачинки Ву,бул Ломско шосе 167,42.73489961,23.29329469
La Cantinetta de Fabio e Nina,ул. Майор Първан Тошев 8-10,42.6783074,23.3001737
Механа Чифлика,ул.Отец Паисий 2,43.84568756,25.94873339
Haiku Sushi,"ул. ""Св. Теодосий Търновски"" 60",42.67235565,23.32604218
La Piccola Pizzeria,бул. Цар Борис III 17,43.40610564,23.22205586
Salad Box (Ring Mall),ул. Околовръстен път 299,42.6238839,23.3532425
Селска пръчка,ул. Васил Левски 18,42.49849085,27.46883707
Бирария Прага 18,бул. Прага 18,42.68846512,23.31224442
Механа Орехчето,бул. Ген. Стефан Тошев 19,42.67160416,23.28309441
Sushi Time - The Fat Chef,ул. Георги С. Раковски 55,42.42981434,25.63041364
Mon Ami,"ж.к. ""Хиподрума"", ул. ""Булаир"" 1",42.68024826,23.29628181
,,,
Китайски ресторант Дракон,ул. Отец Паисий 20,41.931751,25.55566625
Ресторант Меню,бул. Христо Смирненски 25,43.22618026,27.8976344
Villa Grill,ж.к. Люлин 10 ул. Гоце Делчев 10,42.71294633,23.27049983
Hesburger (Бургас),"ул. Янко Комитов 6, Галерия мол",42.51256509,27.45418906
Aladin foods (Цар Борис),бул.Овча купел 1,42.67227081,23.27217595
Salad Box,бул.Александър Стамболийски 72А,42.698637,23.310657
Grill Box,ул. Мадрен и ул Циклама,42.68198521,23.37342035
Gyroland (България),бул. България 142,42.15927,24.738509
Кафана Стефанович,"София, ул. Златовръх 4",42.67399979,23.33408737
Ресторант Комфорт,ул. Найден Геров 6,42.68450329,23.30021482
Cuba Libre,"ж.к. ""Люлин"" 9, бл. 902П",42.71889114,23.26328087
Little Plus,ул. Веселин Ханчев 9,42.43481205,25.63459119
Лесковацка Скара при Бракята,ул.Професор Архитект Храбър Попов срещу бл. 58,42.64466201,23.34085364
Pizza Ancona (Редута),"ул. ""Братя Пешеви"" 10",42.68941116,23.36565971
,,,
Raffy Bar & Gelato (Благоевград),ул. Тракия 1,42.02123534,23.1012143
Мекица и Кафе,ул.Граф Игнатиев 28,42.69083023,23.32546043
Пицария Верона (Надежда),"ж.к. ""Надежда"" 2, до бл. 266",42.72934341,23.30272675
Marrakesh club,ул. Благой Гебрев 70,42.6030222,23.1133415
Fresh Bar Mr. Blend,бул. 25-ти Септември 13,43.56663584,27.83067917
Freddo food & sweet bar,"пл. Сборище 5, Бояна",42.64694828,23.26681507
Ресторант ЕОС,бул. Панония 64,44.00132017,22.87241944
Китайски ресторант Ям Цун Юан,ул.Туше Делииванов 11,42.6687077,23.3967735
Китайски ресторант Азия (Тракия),ж.к. Тракия 176А,42.12939835,24.78376579
Döner Umami,бул. 25-ти септември 28,43.5656361,27.8312327
Wok to Walk,"бул. ""Витоша"" No 8",42.6942482,23.32044983
Savini Gelato (South Park),ул. Ярослав Вешин 63,42.67504891,23.30705262
Ciccione Panini Bar,ул. Ген. Йосиф Гурко 9,42.6931111,23.3260551
,,43.216889,27.90652517
Porto Fresh,ул. Васил Левски 14Г,43.0796808,25.6287368
Godzila,бул. Васил Левски 75,42.69042206,23.33109093
Rambla Bar & Grill,ул. Цар Иван Шишман 64,42.42882141,25.62867779
Veda House,ул. Уилям Гладстоун 2,42.6922556,23.3148942
Хляб и мръвка,акад. Борис Стефанов 16,42.64485122,23.34189692
Гостилница Благост,"Цариградски комплекс, блок 218А, вход Б",42.64724706,23.40114393
Senior Burrito (The Mall),бул Цариградско шосе 115 The Mall,42.660425,23.38209347
Рибен ресторант Посейдон,ул. Булаир 3,41.9359576,25.5585055
The Cups,ул. Фердинандова 34,42.4930684,27.4693846
,,,
Lemonny Coffee & Food,ул. Врабча 2,42.6972915,23.3303483
,,,
Alegro,ул. Цар Тодор Светослав 15,43.08047157,25.63290016
Burger King (Пловдив),"бул. Руски № 54, ет. 2",42.14124959,24.74120628
La Toscana,ул. Калофер 156,42.5095083,27.4699326
Китайски ресторант Дракон,ул. Отец Паисий 20,41.931751,25.55566625
Sweet Blaze,ул. Даме Груев 12,42.01624715,23.09618782
Spaghetti Kitchen,ул. 6ти Септември 9,42.69362234,23.32965383
Alana foods,ул. Генерал Гурко 90,42.42385415,25.63268169
Miss Pizza,ул. Георги С. Раковски 73,42.70194956,23.32931505
Senior Burrito,бул Черни Връх 100,42.6573264,23.3138285
Isos,ул Йордан Йосифов - срещу Била,42.65380992,23.34406857
Le Chef Food & Mood (Grand Mall),ул. Академик Андрей Сахаров 2 Grand Mall ет.2,43.218226,27.897635
Il Siciliano,"Орлов Мост, езерото Ариана",42.69016425,23.33751054
La Bicicletta,бул. Дондуков 18,42.69791376,23.32846037
Fish Planet,Беловодски път 32,42.6491329,23.2522156
Ресторант Орфеида,ул Хан Аспарух 50,42.4448608,25.63493969
Pizza Ancora,пл. Преображение 1,42.7090416,23.28711319
McDonald's™ (Mall Galleria Бургас),ул. Янко Комитов 6,42.5128447,27.4539315
,,,
Пицария Вкусна пица,ул. Константин Иречек 3,42.8714748,25.3183743
Tabule Bar & Diner,ж.к. Люлин 4 ул. Гене Телийски  до Бл 425,42.71508026,23.24852371
